matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
bibd_13_6,78,78,78,77,77,77,0.18317,0.045086,0.187606,0.101491,0.038502,0.103781
mark3jac020sc,333,330,324,358,324,327,0.144267,0.125889,0.165075,0.068767,0.081581,0.098131
celegansneural,64,60,60,74,60,71,0.009904,0.007305,0.011029,0.004647,0.004767,0.005414
G7,801,801,801,801,801,801,0.159271,0.086892,0.174882,0.067547,0.032179,0.07086
G6,801,801,801,801,801,801,0.154924,0.080329,0.220846,0.065442,0.034406,0.076835
G5,801,801,801,801,801,801,0.156189,0.0795,0.168662,0.090501,0.030517,0.073509
G4,801,801,801,801,801,801,0.1525,0.075136,0.164601,0.065417,0.032046,0.074566
lshp_778,58,58,56,58,54,55,0.015061,0.00884,0.016247,0.005735,0.005767,0.007027
G2,801,801,801,801,801,801,0.157606,0.084645,0.173256,0.065495,0.031011,0.069271
G1,801,801,801,801,801,801,0.157841,0.090338,0.215816,0.06566,0.032974,0.075757
dwb512,34,34,34,34,34,34,0.008778,0.007165,0.010725,0.003637,0.003212,0.003914
G9,801,801,801,801,801,801,0.154114,0.077251,0.168383,0.065238,0.033009,0.076328
G8,801,801,801,801,801,801,0.161261,0.081631,0.174063,0.066292,0.030681,0.077216
de063155,39,41,37,37,38,37,0.012054,0.007807,0.014008,0.00664,0.005068,0.006257
lpi_gran,109,89,101,112,90,110,0.041062,0.017378,0.044063,0.020177,0.010195,0.022908
de063157,37,40,36,36,38,36,0.011625,0.008666,0.012665,0.009042,0.005458,0.008507
ck400,0,0,0,0,0,0,0.000742,0.00067,0.000792,0.000756,0.000672,0.000733
pgp2,4,4,4,4,4,4,0.046181,0.051929,0.051196,0.030286,0.030618,0.03422
Franz10,1727,2013,1727,2021,2008,1981,0.398313,0.212346,0.469665,0.12469,0.090191,0.142316
bibd_17_4,136,136,136,134,132,134,0.041246,0.02319,0.041888,0.026033,0.01479,0.027241
jan99jac020sc,364,327,350,334,296,330,0.111722,0.082072,0.121302,0.048317,0.041033,0.059458
mesh3e1,34,34,34,34,34,34,0.006236,0.005442,0.006463,0.002313,0.002283,0.003398
bibd_17_3,104,75,104,106,90,106,0.005541,0.005569,0.005702,0.002331,0.002097,0.002629
ex3sta1,444,235,427,235,235,235,0.155834,0.107092,0.172774,0.053029,0.04245,0.062139
rdist1,40,40,40,40,40,40,0.172204,0.061478,0.175664,0.090934,0.038324,0.101665
rdist2,30,30,30,30,30,30,0.095163,0.040288,0.099454,0.051109,0.025647,0.057526
bibd_15_3,88,78,88,62,71,62,0.0043,0.003153,0.00464,0.002154,0.001826,0.002293
fs_760_2,44,44,44,44,44,44,0.014414,0.012985,0.014842,0.008505,0.006447,0.009462
fs_760_3,44,44,44,44,44,44,0.014333,0.016785,0.015157,0.011848,0.006403,0.009389
QRpivot,30,34,29,29,29,29,0.010857,0.01022,0.011722,0.00469,0.004772,0.006132
EVA,0,0,0,0,0,0,0.002812,0.002765,0.002899,0.003943,0.003676,0.002799
bibd_11_5,55,55,55,53,54,53,0.01504,0.004907,0.016248,0.006334,0.003857,0.006987
Trefethen_150,137,120,120,122,125,119,0.007111,0.005523,0.009179,0.003731,0.005795,0.008379
S20PI_n1,8,4,4,4,4,4,0.004517,0.004978,0.006163,0.002506,0.002314,0.00296
ex18,175,108,144,121,108,110,0.162367,0.100667,0.180703,0.056473,0.046706,0.065106
c-44,253,204,206,333,326,320,0.257349,0.171283,0.295876,0.11991,0.084203,0.145338
ch7-7-b2,833,719,833,579,705,562,0.056899,0.044358,0.059222,0.026508,0.023244,0.031928
ch7-7-b1,45,46,45,36,37,36,0.002893,0.00257,0.003273,0.002217,0.001992,0.002523
c-40,287,116,92,94,94,94,0.717976,0.42141,0.730798,0.199295,0.134893,0.206205
tumorAntiAngiogenesis_7,20,20,20,12,12,12,0.01711,0.011633,0.017769,0.009035,0.006252,0.009844
lp_scfxm1,10,9,10,9,9,9,0.008312,0.006255,0.008932,0.004144,0.003361,0.004254
lp_scfxm3,11,25,9,8,8,8,0.020214,0.011303,0.020012,0.008917,0.006162,0.009826
lp_scfxm2,5,5,5,5,5,5,0.011944,0.009884,0.012746,0.006044,0.004534,0.006228
ex10,58,28,28,28,28,28,0.123803,0.060388,0.133357,0.055298,0.032541,0.059352
rdb968,88,88,88,88,88,88,0.018681,0.010462,0.019713,0.006393,0.006743,0.006911
ex13,140,68,68,108,68,76,0.181566,0.081467,0.198055,0.08091,0.042009,0.09075
lung1,4,4,4,4,4,4,0.01194,0.010631,0.012681,0.006052,0.004668,0.006438
lpi_ex73a,6,4,5,4,4,4,0.002028,0.001841,0.002275,0.001339,0.001332,0.001497
crack_dual,167,146,152,150,151,150,0.095459,0.063494,0.124179,0.041507,0.036744,0.048561
ACTIVSg2000,54,52,52,48,52,48,0.057283,0.033127,0.061903,0.026315,0.018617,0.029775
g7jac020sc,448,364,413,452,379,416,0.118003,0.084521,0.130837,0.049838,0.052066,0.067558
can_256,47,45,46,47,45,44,0.011394,0.007939,0.012503,0.004393,0.004554,0.005852
tols1090,0,0,0,0,0,0,0.00082,0.000802,0.000782,0.000888,0.000708,0.000951
lp_pilotnov,100,95,90,113,106,111,0.034329,0.029135,0.037228,0.018027,0.014686,0.019749
well1850,86,29,62,23,20,23,0.023375,0.014715,0.026425,0.014317,0.008648,0.014827
rdb450l,60,60,60,60,60,60,0.009022,0.005337,0.009293,0.002784,0.002342,0.0033
adder_dcop_41,102,82,91,28,21,28,0.05559,0.054046,0.062048,0.012889,0.011435,0.014841
adder_dcop_40,102,82,91,28,21,28,0.058348,0.054748,0.062532,0.013604,0.010534,0.015032
adder_dcop_43,102,82,91,28,21,28,0.05609,0.054111,0.062611,0.0137,0.010774,0.014471
adder_dcop_42,102,82,91,28,21,28,0.05602,0.054033,0.062549,0.013758,0.010828,0.015432
can_61,10,10,10,10,10,10,0.002867,0.002945,0.002977,0.001359,0.001481,0.001373
adder_dcop_44,111,64,107,22,21,22,0.053617,0.053745,0.057227,0.012416,0.010903,0.013916
adder_dcop_47,102,82,91,28,21,28,0.056101,0.054123,0.064433,0.013112,0.010373,0.014845
adder_dcop_46,102,82,91,28,21,28,0.055966,0.05399,0.062061,0.014488,0.010903,0.016127
adder_dcop_49,102,82,91,28,21,28,0.055347,0.054235,0.062533,0.013304,0.011147,0.015109
adder_dcop_48,102,82,91,28,21,28,0.055261,0.05459,0.065645,0.013296,0.011292,0.015868
wheel_4_1,12,24,12,12,12,12,0.001213,0.000657,0.001296,0.000728,0.00075,0.001799
progas,36,31,36,32,35,32,0.02287,0.015459,0.023559,0.008553,0.008187,0.009459
lpi_bgdbg1,9,8,9,11,7,11,0.004441,0.00446,0.004724,0.002492,0.00253,0.00273
beacxc,438,397,373,435,400,384,0.412772,0.064011,0.434286,0.198516,0.057738,0.21038
wheel_6_1,15,15,15,15,15,15,0.001782,0.001209,0.001827,0.002478,0.001378,0.001511
utm5940,242,220,220,241,221,221,0.181097,0.115877,0.200775,0.07346,0.054958,0.094134
Sandi_sandi,0,0,0,0,0,0,0.000626,0.000576,0.000633,0.000625,0.0006,0.00059
mk11-b2,814,669,794,627,759,624,0.057864,0.043406,0.065156,0.022604,0.016196,0.025223
mk11-b3,3023,3042,3023,3071,3094,3041,0.192703,0.16443,0.198771,0.084418,0.105493,0.10441
mk11-b1,52,53,52,41,42,41,0.003152,0.002831,0.003424,0.00251,0.002118,0.002715
mk11-b4,3505,3220,3217,2856,3051,2851,0.219405,0.159293,0.264633,0.068086,0.061709,0.086147
dtoc,0,0,0,0,0,0,0.007878,0.007665,0.007549,0.007735,0.007639,0.007662
ash219,7,7,7,8,7,8,0.001883,0.00183,0.002003,0.001429,0.001349,0.001471
seymourl,303,194,274,217,222,207,0.125218,0.051284,0.136954,0.056163,0.042704,0.060271
delf,35,34,35,31,30,31,0.028843,0.019665,0.03095,0.012224,0.010595,0.015569
dwt_198,15,12,15,13,12,13,0.004843,0.004541,0.005105,0.002468,0.001847,0.002646
dwt_193,63,40,44,66,40,48,0.010478,0.009986,0.01248,0.004463,0.004916,0.00623
mcca,60,41,46,52,47,46,0.009228,0.008135,0.012317,0.004331,0.003962,0.005566
ca-GrQc,308,333,292,307,318,290,0.073572,0.064531,0.086373,0.033965,0.031884,0.046985
oscil_dcop_38,2,2,2,2,2,2,0.00428,0.004846,0.004489,0.002605,0.002569,0.002764
oscil_dcop_39,2,2,2,2,2,2,0.004248,0.004827,0.005323,0.002448,0.002543,0.002714
west0156,5,5,5,5,5,5,0.002658,0.001863,0.002678,0.001306,0.001551,0.001409
lp_afiro,5,9,5,5,5,5,0.001213,0.000822,0.001287,0.001484,0.000912,0.000927
oscil_dcop_32,2,2,2,2,2,2,0.004291,0.004855,0.004666,0.002448,0.002573,0.002766
oscil_dcop_33,2,2,2,2,2,2,0.004258,0.004811,0.004541,0.002831,0.002614,0.002686
