bibd_13_6,78,1716,25740,66,450,DNF,DNF
mark3jac020sc,9129,9129,56175,DNF,DNF,DNF,DNF
celegansneural,294,270,2345,57,19061,CNO,CNO
G7,800,800,38352,DNF,DNF,DNF,DNF
G6,800,800,38352,DNF,DNF,DNF,DNF
G5,800,800,38352,DNF,DNF,DNF,DNF
G4,800,800,38352,DNF,DNF,DNF,DNF
lshp_778,778,778,5272,DNF,DNF,DNF,DNF
G2,800,800,38352,DNF,DNF,DNF,DNF
G1,800,800,38352,DNF,DNF,DNF,DNF
dwb512,512,512,2500,DNF,DNF,DNF,DNF
G9,800,800,38352,DNF,DNF,DNF,DNF
G8,800,800,38352,DNF,DNF,DNF,DNF
de063155,852,1596,4913,36,8588,DNF,DNF
lpi_gran,2604,2525,20111,DNF,DNF,DNF,DNF
de063157,936,1656,5119,36,56101,DNF,DNF
ck400,400,400,2860,0,1,DNF,DNF
pgp2,4034,13254,22474,4,26,DNF,DNF
Franz10,19588,4164,97508,DNF,DNF,DNF,DNF
bibd_17_4,136,2380,14280,DNF,DNF,DNF,DNF
jan99jac020sc,6774,6774,38692,DNF,DNF,DNF,DNF
mesh3e1,289,289,1889,DNF,DNF,DNF,DNF
bibd_17_3,136,680,2040,DNF,DNF,DNF,DNF
ex3sta1,17443,17516,68779,DNF,DNF,DNF,DNF
rdist1,4134,4134,94408,DNF,DNF,DNF,DNF
rdist2,3198,3198,56934,DNF,DNF,DNF,DNF
bibd_15_3,105,455,1365,DNF,DNF,DNF,DNF
fs_760_2,760,760,5976,44,3203,DNF,DNF
fs_760_3,760,760,5976,44,3199,DNF,DNF
QRpivot,660,749,3808,29,559,DNF,DNF
EVA,1352,6316,6726,0,6,DNF,DNF
bibd_11_5,55,462,4620,45,81,DNF,DNF
Trefethen_150,150,150,2040,DNF,DNF,DNF,DNF
S20PI_n1,1027,1027,2547,4,1,DNF,DNF
ex18,5773,5773,71805,DNF,DNF,DNF,DNF
c-44,10728,10728,85000,DNF,DNF,DNF,DNF
ch7-7-b2,7350,882,22050,DNF,DNF,DNF,DNF
ch7-7-b1,882,49,1764,DNF,DNF,DNF,DNF
c-40,9941,9941,81501,DNF,DNF,DNF,DNF
tumorAntiAngiogenesis_7,475,475,4597,12,158,CNO,CNO
lp_scfxm1,330,600,2732,8,1,DNF,DNF
lp_scfxm3,990,1800,8206,8,158,DNF,DNF
lp_scfxm2,660,1200,5469,5,1,DNF,DNF
ex10,2410,2410,54840,DNF,DNF,DNF,DNF
rdb968,968,968,5632,DNF,DNF,DNF,DNF
ex13,2568,2568,75628,DNF,DNF,DNF,DNF
lung1,1650,1650,7419,4,3,DNF,DNF
lpi_ex73a,193,211,457,4,1,DNF,DNF
crack_dual,20141,20141,60086,DNF,DNF,DNF,DNF
ACTIVSg2000,4000,4000,29336,DNF,DNF,DNF,DNF
g7jac020sc,5850,5850,45465,DNF,DNF,DNF,DNF
can_256,256,256,2916,43,32977,DNF,DNF
tols1090,1090,1090,3546,0,1,0,1
lp_pilotnov,975,2446,13331,DNF,DNF,DNF,DNF
well1850,1850,712,8758,18,3,DNF,DNF
rdb450l,450,450,2580,DNF,DNF,DNF,DNF
adder_dcop_41,1813,1813,11246,18,11,DNF,DNF
adder_dcop_40,1813,1813,11246,18,12,DNF,DNF
adder_dcop_43,1813,1813,11246,18,11,DNF,DNF
adder_dcop_42,1813,1813,11246,18,11,DNF,DNF
can_61,61,61,557,10,1,10,1
adder_dcop_44,1813,1813,11245,18,11,DNF,DNF
adder_dcop_47,1813,1813,11246,18,11,DNF,DNF
adder_dcop_46,1813,1813,11246,18,11,DNF,DNF
adder_dcop_49,1813,1813,11246,18,11,DNF,DNF
adder_dcop_48,1813,1813,11246,18,10,DNF,DNF
wheel_4_1,36,41,122,12,1,INC,INC
progas,1650,1900,8897,DNF,DNF,DNF,DNF
lpi_bgdbg1,348,629,1662,7,9,DNF,DNF
beacxc,449,489,50409,DNF,DNF,DNF,DNF
wheel_6_1,83,85,254,15,2,DNF,DNF
utm5940,5940,5940,83842,DNF,DNF,DNF,DNF
Sandi_sandi,314,360,613,0,1,DNF,DNF
mk11-b2,6930,990,20790,DNF,DNF,DNF,DNF
mk11-b3,17325,6930,69300,DNF,DNF,DNF,DNF
mk11-b1,990,55,1980,DNF,DNF,DNF,DNF
mk11-b4,10395,17325,51975,DNF,DNF,DNF,DNF
dtoc,24993,24993,69972,0,901,0,1
ash219,219,85,438,7,1,DNF,DNF
seymourl,4944,6316,38493,DNF,DNF,DNF,DNF
delf,3170,5598,15397,DNF,DNF,DNF,DNF
dwt_198,198,198,1392,DNF,DNF,DNF,DNF
dwt_193,193,193,3493,40,471,DNF,DNF
mcca,180,180,2659,DNF,DNF,DNF,DNF
ca-GrQc,5242,5242,28980,DNF,DNF,DNF,DNF
oscil_dcop_38,430,430,1544,2,1,DNF,DNF
oscil_dcop_39,430,430,1544,2,1,DNF,DNF
west0156,156,156,371,5,1,DNF,DNF
lp_afiro,27,51,102,5,0,5,1
oscil_dcop_32,430,430,1544,2,1,DNF,DNF
oscil_dcop_33,430,430,1544,2,1,DNF,DNF
oscil_dcop_30,430,430,1544,2,1,DNF,DNF
oscil_dcop_31,430,430,1544,2,1,DNF,DNF
oscil_dcop_36,430,430,1544,2,1,DNF,DNF
oscil_dcop_37,430,430,1544,2,1,DNF,DNF
