now there vol           : 200
now there vol           : 229
bibd_13_6,78,78
mark3jac020sc,330,330
celegansneural,60,60
G7,801,801
G6,801,801
G5,801,801
G4,801,801
lshp_778,58,58
G2,801,801
G1,801,801
dwb512,34,34
G9,801,801
G8,801,801
de063155,41,41
lpi_gran,89,89
de063157,40,40
ck400,0,0
pgp2,4,4
Franz10,2013,2013
bibd_17_4,136,136
jan99jac020sc,327,327
mesh3e1,34,34
bibd_17_3,75,75
ex3sta1,235,235
rdist1,40,40
rdist2,30,30
bibd_15_3,78,78
fs_760_2,44,44
fs_760_3,44,44
QRpivot,34,34
EVA,0,0
bibd_11_5,55,55
Trefethen_150,120,120
S20PI_n1,4,4
ex18,108,108
c-44,204,204
ch7-7-b2,719,719
ch7-7-b1,46,46
c-40,116,116
tumorAntiAngiogenesis_7,20,20
lp_scfxm1,9,9
lp_scfxm3,25,25
lp_scfxm2,5,5
ex10,28,28
rdb968,88,88
ex13,68,68
lung1,4,4
lpi_ex73a,4,4
crack_dual,146,146
ACTIVSg2000,52,52
g7jac020sc,364,364
can_256,45,45
tols1090,0,0
lp_pilotnov,95,95
well1850,29,29
rdb450l,60,60
adder_dcop_41,82,82
adder_dcop_40,82,82
adder_dcop_43,82,82
adder_dcop_42,82,82
can_61,10,10
adder_dcop_44,64,64
adder_dcop_47,82,82
adder_dcop_46,82,82
adder_dcop_49,82,82
adder_dcop_48,82,82
wheel_4_1,24,24
progas,31,31
lpi_bgdbg1,8,8
beacxc,397,397
wheel_6_1,15,15
utm5940,220,220
Sandi_sandi,0,0
mk11-b2,669,669
mk11-b3,3042,3042
mk11-b1,53,53
mk11-b4,3220,3220
dtoc,0,0
ash219,7,7
seymourl,194,194
delf,34,34
dwt_198,12,12
dwt_193,40,40
mcca,41,41
ca-GrQc,333,333
oscil_dcop_38,2,2
oscil_dcop_39,2,2
west0156,5,5
lp_afiro,9,9
oscil_dcop_32,2,2
oscil_dcop_33,2,2
oscil_dcop_30,2,2
oscil_dcop_31,2,2
oscil_dcop_36,2,2
oscil_dcop_37,2,2
oscil_dcop_34,2,2
oscil_dcop_35,2,2
Trefethen_20b,19,19
poli3,121,121
p0033,8,8
poli4,171,171
zed,11,11
dwt_87,12,12
dwt_512,0,0
rosen8,8,8
iprob,2,2
n3c6-b3,285,285
Maragal_4,334,334
GD02_a,13,13
GD02_b,5,5
mycielskian10,404,404
dw1024,65,65
GD00_c,17,17
GD00_a,0,0
grid2_dual,64,64
n3c6-b4,929,929
lpi_bgindy,302,302
Erdos982,248,248
Erdos981,101,101
lp_adlittle,10,10
lp_fit1d,24,24
lp_fit1p,24,24
fs_760_1,44,44
TF11,71,71
TF10,34,34
TF13,355,355
TF12,167,167
TF15,1907,1907
TF14,819,819
hor_131,67,67
flowmeter0,118,118
flowmeter5,116,116
DK01R,20,20
as-22july06,383,383
olm500,2,2
netz4504_dual,34,34
mk11-b4b,2625,2625
lpi_woodinfe,0,0
rdb1250,100,100
cis-n4c6-b15,0,0
cis-n4c6-b14,96,96
cis-n4c6-b13,1140,1140
bcsstm06,0,0
oscil_dcop_42,2,2
oscil_dcop_41,2,2
bcsstm05,0,0
fxm2-6,30,30
oscil_dcop_46,2,2
dw8192,256,256
big_dual,158,158
bcsstm01,0,0
lp_lotfi,18,18
lpi_ceria3d,188,188
bp_600,36,36
gr_30_30,60,60
adder_dcop_52,82,82
adder_dcop_53,82,82
Trefethen_300,239,239
str_400,37,37
adder_dcop_56,82,82
adder_dcop_57,82,82
adder_dcop_54,82,82
adder_dcop_55,82,82
adder_dcop_58,82,82
adder_dcop_59,82,82
beause,372,372
qpband,0,0
lp_scsd1,12,12
lp_scsd6,20,20
lp_scsd8,10,10
Tina_DisCog,8,8
rail_1357,40,40
S10PI_n,4,4
rotor2,36,36
rotor1,15,15
mesh1e1,21,21
scagr7-2c,7,7
scagr7-2b,7,7
msc00726,300,300
beaflw,422,422
oscil_dcop_07,2,2
west0167,9,9
oscil_dcop_05,2,2
oscil_dcop_04,2,2
oscil_dcop_03,2,2
oscil_dcop_02,2,2
oscil_dcop_01,2,2
steam2,120,120
minnesota,34,34
oscil_dcop_09,2,2
oscil_dcop_08,2,2
lshp1561,76,76
tols4000,0,0
will57,4,4
lp_bnl1,52,52
lp_bnl2,129,129
reorientation_1,38,38
reorientation_3,74,74
bp_0,21,21
reorientation_5,74,74
reorientation_4,74,74
reorientation_7,62,62
reorientation_6,98,98
lp_recipe,27,27
reorientation_8,70,70
chesapeake,18,18
lp_kb2,15,15
ash958,10,10
goddardRocketProblem_1,17,17
goddardRocketProblem_2,34,34
co5,190,190
Erdos991,100,100
Erdos992,237,237
ch6-6-b5,0,0
ch6-6-b4,1080,1080
ch6-6-b3,1086,1086
nnc1374,49,49
ch6-6-b1,31,31
west1505,19,19
de080285,41,41
mbeause,358,358
n3c6-b10,242,242
n4c6-b3,961,961
n4c6-b2,114,114
n4c6-b1,19,19
lp_czprob,30,30
fe_sphere,384,384
lp_modszk1,45,45
cegb3306,144,144
curtis54,7,7
p2p-Gnutella25,3377,3377
powersim,13,13
rdb2048,128,128
ex10hs,28,28
mimo8x8_system,44,44
M10PI_n,4,4
n3c5-b2,25,25
lp_fit2p,25,25
plddb,8,8
qc324,162,162
can_838,80,80
rajat07,142,142
rajat06,120,120
rajat05,6,6
rajat04,30,30
rajat03,102,102
rajat02,25,25
rajat01,38,38
rajat08,160,160
rw496,38,38
lp_d6cube,236,236
dwt_869,24,24
flower_7_1,25,25
adder_dcop_69,82,82
adder_dcop_68,82,82
adder_dcop_67,82,82
adder_dcop_66,82,82
adder_dcop_65,82,82
adder_dcop_64,82,82
ww_vref_6405,41,41
adder_dcop_62,82,82
adder_dcop_61,82,82
adder_dcop_60,82,82
complex,384,384
M20PI_n1,4,4
176bit,3184,3184
Chebyshev1,4,4
Chebyshev3,20,20
Chebyshev2,36,36
Trefethen_20,20,20
S80PI_n,8,8
g7jac010,217,217
dwg961b,67,67
dwg961a,30,30
lp_truss,48,48
t3dl_e,0,0
lpi_klein3,69,69
lpi_klein2,45,45
lpi_klein1,37,37
Trefethen_200,156,156
dw2048,65,65
dwt_245,9,9
ca-HepTh,1255,1255
can_161,32,32
p0040,3,3
lp_d2q06c,135,135
saylr4,157,157
lp_pilot87,362,362
deter8,15,15
n2c6-b10,0,0
bips07_1693,45,45
bfwb62,8,8
oscil_dcop_10,2,2
oscil_dcop_11,2,2
oscil_dcop_12,2,2
oscil_dcop_13,2,2
oscil_dcop_14,2,2
oscil_dcop_15,2,2
Trec11,222,222
oscil_dcop_17,2,2
ch7-9-b1,63,63
freeFlyingRobot_14,130,130
deter2,15,15
deter3,15,15
deter4,16,16
freeFlyingRobot_10,102,102
deter6,15,15
freeFlyingRobot_12,14,14
freeFlyingRobot_15,78,78
Hamrle1,6,6
Hamrle2,16,16
oscil_dcop_19,2,2
ch7-9-b2,1298,1298
Oregon-2,262,262
Oregon-1,182,182
freeFlyingRobot_11,120,120
deter5,15,15
freeFlyingRobot_13,111,111
deter7,15,15
flower_5_1,25,25
flower_5_4,1376,1376
jan99jac020,327,327
Ragusa18,9,9
jagmesh9,43,43
jagmesh8,42,42
jagmesh7,28,28
jagmesh6,18,18
Ragusa16,11,11
jagmesh4,40,40
jagmesh3,66,66
jagmesh2,62,62
jagmesh1,52,52
lp_ship04l,32,32
whitaker3,130,130
bp_200,28,28
mk10-b1,42,42
mk10-b3,1124,1124
mk10-b2,403,403
wang2,364,364
mk10-b4,0,0
wang1,364,364
rw136,20,20
lp_ship04s,30,30
biplane-9,121,121
adjnoun,51,51
Kohonen,171,171
adder_dcop_45,82,82
can_62,6,6
pesa,69,69
rel3,3,3
tumorAntiAngiogenesis_3,12,12
tumorAntiAngiogenesis_2,12,12
tumorAntiAngiogenesis_5,12,12
tumorAntiAngiogenesis_4,16,16
rel5,17,17
tumorAntiAngiogenesis_6,16,16
crew1,121,121
model9,12,12
model8,134,134
model3,85,85
model2,97,97
model1,55,55
model7,9,9
model6,91,91
model5,1,1
model4,117,117
M80PI_n,8,8
nl,266,266
rajat14,14,14
rajat11,11,11
rajat12,26,26
rajat13,90,90
hangGlider_2,34,34
hangGlider_3,380,380
hangGlider_1,10,10
stoch_aircraft,9,9
Si2,523,523
can_229,38,38
football,64,64
mycielskian7,52,52
mycielskian6,25,25
dwt_878,34,34
mycielskian4,9,9
mycielskian3,2,2
mycielskian2,0,0
bips07_1998,36,36
mycielskian9,202,202
mycielskian8,102,102
testbig,9,9
lpl2,206,206
dwt_503,52,52
N_biocarta,0,0
str_200,21,21
lp_grow22,20,20
G17,415,415
g7jac020,364,364
ash85,14,14
cat_ears_3_4,1094,1094
cat_ears_3_1,16,16
polblogs,197,197
n2c6-b9,0,0
bayer10,49,49
Kaufhold,42,42
n2c6-b1,13,13
n2c6-b3,285,285
n2c6-b2,61,61
n2c6-b5,1934,1934
n2c6-b4,929,929
n2c6-b7,1372,1372
bcsstm25,0,0
sit100,274,274
yeast,462,462
G53,510,510
G52,507,507
G51,520,520
lnsp_131,24,24
G57,0,0
G56,2275,2275
G55,2275,2275
G54,527,527
G59,2604,2604
G58,2604,2604
dano3mip,1420,1420
airfoil1_dual,68,68
gre_216b,36,36
gre_216a,36,36
mahindas,115,115
Zewail,717,717
bwm2000,4,4
sts4098,102,102
dw256A,24,24
dw256B,34,34
lshp1009,62,62
sphere2,26,26
sphere3,50,50
dwt_992,64,64
freeFlyingRobot_8,39,39
145bit,489,489
mbeacxc,377,377
iiasa,14,14
df2177,448,448
rdb1250l,100,100
rdb200,40,40
gre_115,23,23
fpga_dcop_19,2,2
dwt_1007,38,38
dwt_1005,80,80
ex20,106,106
primagaz,7,7
mesh2e1,34,34
1138_bus,20,20
bp_1600,44,44
freeFlyingRobot_5,130,130
freeFlyingRobot_4,40,40
freeFlyingRobot_7,100,100
freeFlyingRobot_6,58,58
freeFlyingRobot_1,23,23
watt_2,128,128
freeFlyingRobot_3,36,36
freeFlyingRobot_2,14,14
lp_grow7,20,20
freeFlyingRobot_9,62,62
jagmesh5,21,21
Erdos972,230,230
Erdos971,105,105
descriptor_xingo6u,48,48
Cities,47,47
n4c5-b2,61,61
n4c5-b3,225,225
n4c5-b1,13,13
n4c5-b6,1646,1646
n4c5-b7,1282,1282
n4c5-b4,793,793
n4c5-b5,1393,1393
n4c5-b8,594,594
n4c5-b9,142,142
extr1,15,15
nemsafm,12,12
lp_beaconfd,36,36
orsirr_2,100,100
cz148,21,21
orsirr_1,100,100
rkat7_mat5,237,237
refine,6,6
dwt_1242,48,48
L-9,222,222
mhd1280a,44,44
mhd1280b,16,16
Goodwin_017,168,168
Goodwin_013,120,120
Goodwin_010,88,88
ch8-8-b2,1306,1306
ch8-8-b1,64,64
plskz362,22,22
ibm32,18,18
lshp_265,33,33
lp_agg,25,25
Chem97Zt,0,0
nopss_11k,36,36
lp_dfl001,541,541
lpi_greenbea,82,82
162bit,1595,1595
rdb450,60,60
data,128,128
nsic,47,47
D_10,276,276
D_11,101,101
rajat27,22,22
se,4118,4118
M40PI_n,6,6
PGPgiantcompo,223,223
utm3060,205,205
lp_scagr7,6,6
Journals,125,125
can_24,15,15
fe_4elt2,132,132
lshp1270,74,74
lpi_pang,17,17
lp_wood1p,103,103
bayer08,69,69
bayer09,33,33
bayer06,69,69
bayer07,110,110
bayer04,106,106
bayer05,110,110
bayer02,28,28
bayer03,35,35
can_144,13,13
nasa1824,227,227
dwt_221,15,15
lp_maros,45,45
bips07_2476,47,47
car4,0,0
G40,1037,1037
